Ax,Ay,Az,Gx,Gy,Gz,Label
-0.012,-0.024,1.019,0.157,-2.021,0.079,Idle
-0.013,-0.024,1.019,0.201,-2.021,0.123,Idle
-0.011,-0.023,1.019,0.210,-1.995,0.096,Idle
-0.012,-0.024,1.020,0.175,-1.986,0.070,Idle
-0.012,-0.024,1.019,0.184,-2.021,0.096,Idle
-0.012,-0.023,1.019,0.192,-2.047,0.105,Idle
-0.012,-0.024,1.019,0.192,-2.013,0.105,Idle
-0.012,-0.025,1.018,0.228,-2.047,0.070,Idle
-0.012,-0.024,1.018,0.149,-2.004,0.079,Idle
-0.012,-0.024,1.018,0.192,-1.986,0.096,Idle
-0.012,-0.023,1.020,0.184,-2.004,0.079,Idle
-0.012,-0.023,1.018,0.210,-2.013,0.140,Idle
-0.013,-0.025,1.019,0.201,-2.013,0.123,Idle
-0.012,-0.024,1.018,0.149,-2.030,0.114,Idle
-0.013,-0.025,1.019,0.175,-2.013,0.105,Idle
-0.012,-0.024,1.019,0.192,-2.013,0.087,Idle
-0.012,-0.024,1.019,0.149,-2.021,0.114,Idle
-0.013,-0.024,1.018,0.184,-2.030,0.079,Idle
-0.012,-0.023,1.019,0.184,-2.039,0.087,Idle
-0.012,-0.024,1.018,0.245,-2.056,0.123,Idle
-0.014,-0.024,1.018,0.201,-2.013,0.061,Idle
-0.012,-0.024,1.017,0.175,-2.030,0.105,Idle
-0.013,-0.024,1.019,0.192,-2.021,0.123,Idle
-0.012,-0.025,1.019,0.149,-2.091,0.052,Idle
-0.013,-0.024,1.019,0.245,-2.039,0.105,Idle
-0.012,-0.024,1.019,0.166,-2.021,0.114,Idle
-0.012,-0.023,1.017,0.201,-1.995,0.061,Idle
-0.012,-0.023,1.018,0.175,-2.030,0.131,Idle
-0.012,-0.024,1.018,0.157,-2.047,0.061,Idle
-0.011,-0.024,1.017,0.140,-2.030,0.087,Idle
-0.012,-0.024,1.019,0.166,-2.030,0.079,Idle
-0.012,-0.024,1.018,0.236,-2.039,0.079,Idle
-0.012,-0.025,1.017,0.210,-2.004,0.140,Idle
-0.011,-0.024,1.017,0.166,-2.021,0.123,Idle
-0.013,-0.023,1.019,0.192,-2.013,0.096,Idle
-0.012,-0.024,1.020,0.157,-2.030,0.114,Idle
